long,lat,fips
1356903.68988526,-1455498.91398317,12059
1912291.66013615,-1703712.42987795,12061
1414632.40284833,-1453749.7952738,12063
1545596.65429183,-1470310.2404912,12065
1621302.19310995,-1506555.90012005,12067
1784493.49407464,-1611020.01092851,12069
1809314.92415368,-1851572.02261237,12071
1509196.38788757,-1474534.60053703,12073
1675639.63542656,-1570887.29035083,12075
1455275.99061439,-1509288.98664382,12077
1585236.28957996,-1461841.67589943,12079
1750467.93488214,-1763788.97138853,12081
1742757.0325395,-1568952.15617769,12083
1941652.99250168,-1766769.40704237,12085
1958950.47439849,-1928671.74894031,12086
1879138.57465515,-2013526.90178097,12087
1739398.33096246,-1411353.17515709,12089
1285715.41623179,-1486794.59870702,12091
1890978.16153874,-1743284.07579641,12093
1827256.57656647,-1629778.47978527,12095
1852468.12015472,-1675258.22961039,12097
1946974.7411597,-1814289.23629501,12099
1726838.80063662,-1674382.29750597,12101
1702812.33088349,-1721797.04548283,12103
1801727.24150039,-1699058.32742011,12105
1765098.01941265,-1519437.25837847,12107
1788266.26253403,-1481184.37988469,12109
1931703.23609358,-1735029.70023481,12111
1244665.4755644,-1492919.89718094,12113
1754412.50655539,-1795269.91298362,12115
1830642.8828112,-1606154.98009729,12117
1750513.85650006,-1625046.01691004,12119
1635446.12576186,-1479743.8300061,12121
1580024.7474972,-1507465.40787281,12123
1696622.62700937,-1484552.48431684,12125
1829330.91727787,-1567614.89176074,12127
1502487.74322994,-1508860.49136114,12129
1326659.35010323,-1485787.51926138,12131
1375408.03073434,-1480886.26027369,12133
1671334.72019743,-1296827.53394784,13001
1625584.47386823,-1357504.94461954,13003
1659361.77828837,-1321317.2368461,13005
1478424.60661344,-1382569.30748372,13007
1557255.06743408,-1170643.04054994,13009
1509762.49911216,-1034260.75500942,13011
1497077.26003091,-1078057.23133386,13013
1390747.84295367,-1070299.66703642,13015
1584532.12844559,-1313213.33233775,13017
1593285.93111448,-1366327.83705978,13019
1520195.49400822,-1207360.90421383,13021
1561639.43230444,-1241152.39967943,13023
1711339.34445144,-1351003.12709541,13025
1567778.66659552,-1420654.30625572,13027
1744512.13424745,-1251308.16006493,13029
1708107.10423687,-1215433.57379993,13031
1671369.02059007,-1147980.24217888,13033
1488524.34707496,-1159869.93506845,13035
